Station_Name,Station_Type,Station_Name_Short,Type_Code,Shape_Area,Shape_Length,Attachment
CORAL EDGE LRT STATION,LRT,,0,1054.61163884,170.560957227,
DHOBY GHAUT MRT STATION,MRT,,0,6110.81402282,560.746269308,
LAVENDER MRT STATION,MRT,,0,11496.4689977,795.625207735,
HOUGANG MRT STATION,MRT,,0,10872.9669413,782.558531377,NE14_HGN STN.zip
BEDOK MRT STATION,MRT,,0,4710.64579735,384.785953959,
SUB STATION,MRT,,0,4086.32759444,375.686995605,
EXPO MRT STATION,MRT,,0,9652.69861086,798.16276109,C504_S_CGA_MAIN_A_R19_P2.zip
PUNGGOL LRT STATION,LRT,,0,11506.5035252,648.115862225,
SAM KEE LRT STATION,LRT,,0,2542.887461,218.414292438,
DHOBY GHAUT MRT STATION,MRT,,0,4883.91833129,423.175135328,NE6_DBG STN.zip
JURONG EAST MRT STATION,MRT,,0,9101.08752021,560.764697288,
BUKIT BROWN MRT STATION,MRT,,0,2097.53526035,226.882001278,
PIONEER MRT STATION,MRT,,0,4026.65362178,595.978491416,
TAMPINES EAST MRT STATION,MRT,,0,10262.5231905,990.521389868,
TUAS CRESCENT MRT STATION,MRT,,0,6032.92467528,720.055466165,
KALLANG MRT STATION,MRT,,0,7313.91768756,415.42511358,
SOO TECK LRT STATION,LRT,,0,1050.08831334,170.457811018,
SERANGOON MRT STATION,MRT,,0,11695.7238011,903.446445017,NE12_SER STN.zip
FAJAR LRT STATION,LRT,,0,769.44288984,129.922744683,
KENT RIDGE MRT STATION,MRT,,0,5435.86207074,679.48731657,CC24_KRG STN.zip
MAYFLOWER MRT STATION,MRT,,0,10473.6727244,1132.79045886,
YEW TEE MRT STATION,MRT,,0,10206.7396705,544.658150847,
TANJONG RHU MRT STATION,MRT,,0,8799.0446635,691.866418561,
FARRER ROAD MRT STATION,MRT,,0,4331.05977065,418.938410036,CC20_FRR STN.zip
BUANGKOK MRT STATION,MRT,,0,11170.2505496,754.654147894,NE15_BGK STN.zip
TAMPINES MRT STATION,MRT,,0,7226.34079795,432.967421356,
TECK LEE LRT STATION,LRT,,0,976.299511015,160.677175862,
RIVIERA LRT STATION,LRT,,0,981.098333485,160.748681403,
BUKIT GOMBAK MRT STATION,MRT,,0,6671.36758522,377.179824057,
JOO KOON MRT STATION,MRT,,0,4514.16400547,665.979237597,
NICOLL HIGHWAY MRT STATION,MRT,,0,6650.43361123,568.604167729,CC5_NCH STN.zip
SENGKANG MRT DEPOT,MRT,,0,276721.045743,2666.34470032,
KOVAN MRT STATION,MRT,,0,9422.21686781,676.597024461,NE13_KVN STN.zip
SOUTH VIEW LRT STATION,LRT,,0,692.533908905,115.315597449,
PUNGGOL MRT STATION,MRT,,0,12711.4614544,718.672007603,NE17_PGL STN.zip
PUNGGOL POINT LRT STATION,LRT,,0,984.50141861,160.96799481,
SAMUDERA LRT STATION,LRT,,0,981.20470013,160.783269817,
BOCC,MRT,,0,7470.91085474,676.994187293,
CHINATOWN MRT STATION,MRT,,0,9971.20257446,1016.64411587,
CHINATOWN MRT STATION,MRT,,0,13733.3253403,1209.34238218,NE4_CNT STN.zip
THANGGAM LRT STATION,LRT,,0,906.454384185,150.807741938,
HALIFAX SUB STATION CABLE TROUGH,MRT,,0,658.53414113,349.275797027,
OASIS LRT STATION,LRT,,0,977.380485655,160.708451925,
HILLVIEW MRT STATION,MRT,,0,8339.85281558,522.655589646,
BUKIT PANJANG LRT DEPOT,LRT,,0,9963.93566847,428.385760122,
HAVELOCK MRT STATION,MRT,,0,8185.03719764,1125.54397508,
KADALOOR LRT STATION,LRT,,0,1051.26311829,170.470467849,
COVE LRT STATION,LRT,,0,984.7073419,160.901882798,
TELOK BLANGAH MRT STATION,MRT,,0,4916.47152913,453.035853169,CC28_TLB STN.zip
TECK WHYE LRT STATION,LRT,,0,1058.38652495,129.432906409,
KIM CHUAN DEPOT,MRT,,0,115418.79819,2325.61655715,
ORCHARD MRT STATION,MRT,,0,15744.3804251,1040.0752765,
JALAN BESAR MRT STATION,MRT,,0,6167.16138261,531.07257784,
PAYA LEBAR MRT STATION,MRT,,0,8944.63266557,709.55108766,CC9_PYL STN.zip
BAYFRONT MRT STATION,MRT,,0,8939.82932202,671.211808553,
MARINE PARADE MRT STATION,MRT,,0,13246.267666,969.180142871,
QUEENSTOWN MRT STATION,MRT,,0,2922.29139794,335.083869357,
HARBOURFRONT MRT STATION,MRT,,0,12862.9275911,988.258546517,NE1_HBF STN.zip
SHENTON WAY MRT STATION,MRT,,0,7551.92933161,650.378780384,
JELAPANG LRT STATION,LRT,,0,854.32295245,127.480514977,
UBI MRT STATION,MRT,,0,5290.39735844,439.765450303,
MOUNTBATTEN MRT STATION,MRT,,0,7652.30602575,609.577946314,"CC7_MBT STN.zip
CC7_MBT STN.zip"
DHOBY GHAUT MRT STATION,MRT,,0,13552.750108,738.149462744,
KING ALBERT PARK MRT STATION,MRT,,0,8216.15842298,626.188628819,
MAXWELL MRT STATION,MRT,,0,8026.72891554,680.290920024,
LABRADOR PARK MRT STATION,MRT,,0,7362.2727625,527.942436641,CC27_LBD STN.zip
MARINA BAY MRT STATION,MRT,,0,8865.63122715,463.569232468,CE2_MRB STN.zip
POTONG PASIR MRT STATION,MRT,,0,13108.2946552,848.408276948,NE10_PTP STN.zip
MOUNT PLEASANT MRT STATION,MRT,,0,7224.03063767,585.22234679,
BAYSHORE MRT STATION,MRT,,0,3526.48118182,438.901822898,
STADIUM MRT STATION,MRT,,0,6355.38001718,534.204250237,CC6_SDM STN.zip
ORCHARD MRT STATION,MRT,,0,6425.89848208,441.609218023,
ULU PANDAN DEPOT,MRT,,0,169945.171752,2645.46242605,
WOODLANDS SOUTH MRT STATION,MRT,,0,11229.6913533,880.318377049,
MANDAI DEPOT,MRT,,0,297385.74173,3222.8285041,
OUTRAM PARK MRT STATION,MRT,,0,15149.1174679,1848.15620765,
BANGKIT LRT STATION,LRT,,0,711.504390385,115.138714619,
SIGLAP MRT STATION,MRT,,0,11589.1861718,1136.03266014,
LENTOR MRT STATION,MRT,,0,11434.2203825,1027.67565341,
FOUNDERS' MEMORIAL MRT STATION,MRT,,0,7722.45442965,534.512503954,
ALJUNIED MRT STATION,MRT,,0,6694.81008942,461.854411941,
BENCOOLEN MRT STATION,MRT,,0,5590.75670945,743.587710614,
BOTANIC GARDENS MRT STATION,MRT,,0,5917.19555518,472.17415449,
BISHAN MRT STATION,MRT,,0,8914.16559649,659.114647447,CC15_BSH STN.zip
MERIDIAN LRT STATION,LRT,,0,982.38666201,160.857999424,
NEWTON MRT STATION,MRT,,0,7481.83739237,681.885191671,
TAMPINES WEST MRT STATION,MRT,,0,7916.4783462,589.683536327,
DOVER MRT STATION,MRT,,0,4684.677684,405.638249159,
TAI SENG FACILITY BUILDING,MRT,,0,14158.384177,757.006889503,
HUME MRT STATION,MRT,,0,5773.4303269,456.269761524,
TANJONG PAGAR MRT STATION,MRT,,0,6741.09058128,765.536141269,C108_S_TPG_MAIN_A_R19_P2.zip
ONE-NORTH MRT STATION,MRT,,0,5349.31382266,453.125436592,CC23_ONH STN.zip
SERANGOON MRT STATION,MRT,,0,8619.27706421,765.002970521,CC13_SER STN.zip
WOODLANDS MRT STATION,MRT,,0,25873.0279285,1641.84947103,
SUMANG LRT STATION,LRT,,0,977.818446825,160.725694264,
MARSILING MRT STATION,MRT,,0,8243.00138626,657.718130367,
NIBONG LRT STATION,LRT,,0,980.10155686,160.856859465,
PUNGGOL COAST MRT STATION,MRT,,0,13408.2910044,782.967541438,
DAMAI LRT STATION,LRT,,0,980.7157919,160.835850006,
KANGKAR LRT STATION,LRT,,0,967.994981555,159.1748002,
FARMWAY LRT STATION,LRT,,0,969.91740508,159.359865262,
BUKIT BATOK MRT STATION,MRT,,0,5188.27619104,450.495334055,
SPRINGLEAF MRT STATION,MRT,,0,8424.74903056,751.386413105,
LITTLE INDIA MRT STATION,MRT,,0,8978.25383049,729.68380984,
BEAUTY WORLD MRT STATION,MRT,,0,11959.7638609,857.64736257,
TUAS DEPOT,MRT,,0,255776.163658,2501.54566447,
TUAS WEST ROAD MRT STATION,MRT,,0,6235.22539319,719.988103918,
BUONA VISTA MRT STATION,MRT,,0,9880.67060488,544.991147748,CC22_BNV STN.zip
TANAH MERAH MRT STATION,MRT,,0,7200.21906094,445.829429146,C305_S_TNM_MAIN_A_R19_P3.zip
RENJONG LRT STATION,LRT,,0,904.451085875,150.744405038,
TONGKANG LRT STATION,LRT,,0,904.217510805,150.742542433,
SENGKANG MRT STATION,MRT,,0,5698.34036964,461.188573234,NE16_SKG STN.zip
BAKAU LRT STATION,LRT,,0,901.709250225,150.654278294,
BUKIT PANJANG MRT STATION,MRT,,0,13326.2513024,1355.136439,
FARRER PARK MRT STATION,MRT,,0,15820.1698875,1624.97673157,NE8_FRP STN.zip
BAYSHORE MRT STATION,MRT,,0,13462.2081611,1124.11548449,
PETIR LRT STATION,LRT,,0,653.14402719,110.287344111,
KEMBANGAN MRT STATION,MRT,,0,4908.96603069,388.133432567,
COMPASSVALE LRT STATION,LRT,,0,906.09318405,150.794510091,
KAKI BUKIT MRT STATION,MRT,,0,6037.34725197,577.884536263,
BUKIT PANJANG LRT STATION,LRT,,0,1116.13780821,152.110833821,
EUNOS MRT STATION,MRT,,0,9113.77615355,634.844148737,
PASIR PANJANG MRT STATION,MRT,,0,4753.02306003,440.763044071,CC26_PPJ STN.zip
TOA PAYOH MRT STATION,MRT,,0,6675.25876581,758.907483419,
KHATIB MRT STATION,MRT,,0,7227.52619484,442.107601405,
MATTAR MRT STATION,MRT,,0,5544.11310426,393.100842742,
FORT CANNING MRT STATION,MRT,,0,8519.05766891,544.312303034,
FERNVALE LRT STATION,LRT,,0,2851.80302142,315.43296184,
HOLLAND VILLAGE MRT STATION,MRT,,0,7674.12413928,828.592023227,CC21_HLV STN.zip
KUPANG LRT STATION,LRT,,0,906.41080613,150.838204816,
CHENG LIM LRT STATION,LRT,,0,911.067726125,150.973239942,
YIO CHU KANG MRT STATION,MRT,,0,7848.63825204,498.338061686,
SEMBAWANG MRT STATION,MRT,,0,9764.93390888,606.848687798,
LAYAR LRT STATION,LRT,,0,906.60926942,150.823669882,
RANGGUNG LRT STATION,LRT,,0,905.14478061,150.776673424,
MARINA SOUTH MRT STATION,MRT,,0,9402.94069989,603.351507467,
KRANJI MRT STATION,MRT,,0,11677.6026451,600.728222722,
SOMERSET MRT STATION,MRT,,0,5836.29015514,563.774241554,
CALDECOTT MRT STATION,MRT,,0,6959.39414286,513.493809903,CC17_CDT STN.zip
CHOA CHU KANG LRT STATION,LRT,,0,1257.25606442,174.624427665,
PENDING LRT STATION,LRT,,0,1134.4074717,158.222765341,
GREAT WORLD MRT STATION,MRT,,0,11067.2291036,1329.7671058,
PAYA LEBAR MRT STATION,MRT,,0,6208.64676988,455.473490939,
SENGKANG LRT DEPOT,LRT,,0,35101.7525773,902.365078158,
RUMBIA LRT STATION,LRT,,0,908.969188595,150.892988469,
PHOENIX LRT STATION,LRT,,0,1088.62504566,139.855156832,
GARDENS BY THE BAY MRT STATION,MRT,,0,10614.0258332,919.291794838,
TAI SENG MRT STATION,MRT,,0,7082.83094228,654.750706582,CC11_TSG STN.zip
YISHUN MRT STATION,MRT,,0,6639.14216238,413.723509118,
LAKESIDE MRT STATION,MRT,,0,8746.36734622,461.657103681,
DAKOTA MRT STATION,MRT,,0,7879.17029504,560.27119696,CC8_DKT STN.zip
CALDECOTT MRT STATION,MRT,,0,6837.426364,662.950907682,
DOWNTOWN MRT STATION,MRT,,0,4801.85719429,325.482144924,
TIONG BAHRU MRT STATION,MRT,,0,6598.60951057,816.151894569,
WOODLANDS MRT STATION,MRT,,0,15970.7049061,726.602117092,
CHINESE GARDEN MRT STATION,MRT,,0,8233.44951442,493.964866671,
PASIR RIS MRT STATION,MRT,,0,5537.69464645,385.443974113,
WOODLANDS NORTH MRT STATION,MRT,,0,13213.3001892,732.398019594,
ORCHARD BOULEVARD MRT STATION,MRT,,0,5472.66929182,624.072144248,
GALI BATU DEPOT,MRT,,0,256695.147741,3633.53706931,
BARTLEY MRT STATION,MRT,,0,7829.79856732,573.619399834,CC12_BLY STN.zip
CITY HALL MRT STATION,MRT,,0,8317.95850107,597.274928912,
TAMPINES MRT STATION,MRT,,0,8625.23644221,663.852574338,
TAN KAH KEE MRT STATION,MRT,,0,7712.92538846,596.337231184,
MACPHERSON MRT STATION,MRT,,0,9978.08874716,673.661094537,CC10_MPS STN.zip
BOON KENG MRT STATION,MRT,,0,12607.4883536,869.093140203,NE9_BNK STN.zip
SEGAR LRT STATION,LRT,,0,972.38790082,172.598530941,
CASHEW MRT STATION,MRT,,0,7212.70291556,494.054913675,
PROMENADE MRT STATION,MRT,,0,11020.6702646,1023.2226942,CC4_PMN STN.zip
GUL CIRCLE MRT STATION,MRT,,0,10826.2451639,1069.16999546,
PROMENADE MRT STATION,MRT,,0,4005.7132507,533.719122309,
BUONA VISTA MRT STATION,MRT,,0,5517.42608561,588.824658597,
UPPER THOMSON MRT STATION,MRT,,0,10071.2006812,1040.78567281,
SIXTH AVENUE MRT STATION,MRT,,0,7126.67379684,519.98307115,
BRIGHT HILL MRT STATION,MRT,,0,12113.3744994,950.490450005,
BUGIS MRT STATION,MRT,,0,12956.5118966,1085.63296736,C301A_S_BGS_MAIN_A_R19_P2.zip
ANG MO KIO MRT STATION,MRT,,0,6815.3999195,420.002681564,
MARYMOUNT MRT STATION,MRT,,0,6763.00948288,614.653469819,CC16_MRM STN.zip
BUGIS MRT STATION,MRT,,0,9401.91120261,1037.97206265,
WOODLEIGH MRT STATION,MRT,,0,10952.890366,603.453381619,NE11_WHL STN.zip
CANBERRA MRT STATION,MRT,,0,7838.73731714,687.774472067,
SIMEI MRT STATION,MRT,,0,5650.86747831,394.439893025,C306_S_SIM_MAIN_A_R19_P3.zip
ESPLANADE MRT STATION,MRT,,0,7702.76988597,596.203569674,CC3_EPN STN.zip
LITTLE INDIA MRT STATION,MRT,,0,11728.0695601,1051.13133084,NE7_LTI STN.zip
BENDEMEER MRT STATION,MRT,,0,4571.45477854,351.443195998,
BISHAN MRT STATION,MRT,,0,6619.40186866,449.679572327,
LORONG CHUAN MRT STATION,MRT,,0,8638.00474311,643.92118729,CC14_LRC STN.zip
SENGKANG LRT STATION,LRT,,0,228.40576701,549.795220348,
COMMONWEALTH MRT STATION,MRT,,0,2599.22856568,330.710714172,
NAPIER MRT STATION,MRT,,0,6876.41938416,509.489116373,
GEYLANG BAHRU MRT STATION,MRT,,0,5931.33770694,404.447120747,
NEWTON MRT STATION,MRT,,0,6385.89168574,628.043041808,
OUTRAM PARK MRT STATION,MRT,,0,4800.97410007,412.700858643,C109_S_OTP_MAIN_A_R19_P2.zip
OUTRAM PARK MRT STATION,MRT,,0,12525.5377782,1317.22023727,NE3_OTP STN.zip
CLARKE QUAY MRT STATION,MRT,,0,12177.081199,1005.13163555,NE5_CQY STN.zip
BEDOK RESERVOIR MRT STATION,MRT,,0,9431.87921284,698.90417705,
BRAS BASAH MRT STATION,MRT,,0,6169.5187633,700.135249673,CC2_BBS STN.zip
MARINE TERRACE MRT STATION,MRT,,0,13185.944168,1218.24566117,
MARINA BAY MRT STATION,MRT,,0,11809.448084,649.246955096,
BEDOK NORTH MRT STATION,MRT,,0,9862.55599814,725.946392222,
HARBOURFRONT MRT STATION,MRT,,0,10147.382789,670.03867794,CC29_HBF STN.zip
CHANGI AIRPORT MRT STATION,MRT,,0,12554.6593625,693.856676552,C502_S_XPO_MAIN_A_R19_P2.zip
BRADDELL MRT STATION,MRT,,0,6607.47452559,690.152251214,
ROCHOR MRT STATION,MRT,,0,8786.29414775,696.955997508,
CLEMENTI MRT STATION,MRT,,0,2884.84894078,334.622130016,
MACPHERSON MRT STATION,MRT,,0,7569.90382571,809.173003422,
MARINA SOUTH PIER MRT STATION,MRT,,0,10209.5552945,843.287880947,
TUAS LINK MRT STATION,MRT,,0,9365.17971315,765.194699085,
STEVENS MRT STATION,MRT,,0,5968.13126468,570.462202022,
SENJA LRT STATION,LRT,,0,745.33451336,118.299186626,
HAW PAR VILLA MRT STATION,MRT,,0,7458.63174114,637.147848428,CC25_HPV STN.zip
MARINA BAY MRT STATION,MRT,,0,24333.043528,1512.42939411,
MARINE PARADE MRT STATION,MRT,,0,11655.9516457,932.274607954,
STEVENS MRT STATION,MRT,,0,4173.09093375,287.556827871,
MARINA BAY MRT STATION,MRT,,0,267.771474195,68.2966663815,
BOTANIC GARDENS MRT STATION,MRT,,0,8505.19194761,511.420076218,CC19_BTN STN.zip
CHOA CHU KANG MRT STATION,MRT,,0,4931.90336204,377.290533423,
BISHAN DEPOT,MRT,,0,311932.900285,4316.56310676,
KEAT HONG LRT STATION,LRT,,0,855.399414025,140.824167659,
ADMIRALTY MRT STATION,MRT,,0,10570.643307,547.642518732,
REDHILL MRT STATION,MRT,,0,4352.08581838,376.145920707,
UPPER CHANGI MRT STATION,MRT,,0,14006.1850921,812.738089295,
EXPO MRT STATION,MRT,,0,6428.8531801,510.803703792,
CHANGI DEPOT,MRT,,0,164551.095634,2670.86742123,
TELOK AYER MRT STATION,MRT,,0,7022.66868481,553.964273023,
NOVENA MRT STATION,MRT,,0,5864.19701695,462.183367372,
BOON LAY MRT STATION,MRT,,0,7933.43907898,446.977419565,
KATONG PARK MRT STATION,MRT,,0,8412.72905538,700.225809165,
TANJONG KATONG MRT STATION,MRT,,0,5898.95465775,563.545016921,
RAFFLES PLACE MRT STATION,MRT,,0,10035.6763604,836.986055678,
TUNNEL STRUCTURE CONNECTING DEPOT TO FACILITY BUILDING,MRT,,0,3897.92019904,408.390214363,
