Station_Name,Station_Type,Latitude,Longitude
CORAL EDGE LRT STATION,LRT,1.39405,103.91044
DHOBY GHAUT MRT STATION,MRT,1.29937,103.84551
LAVENDER MRT STATION,MRT,1.30704,103.86306
HOUGANG MRT STATION,MRT,1.3712,103.89238
BEDOK MRT STATION,MRT,1.32402,103.92999
EXPO MRT STATION,MRT,1.33539,103.96137
PUNGGOL LRT STATION,LRT,1.40512,103.90226
SAM KEE LRT STATION,LRT,1.40238,103.91271
JURONG EAST MRT STATION,MRT,1.33319,103.74238
BUKIT BROWN MRT STATION,MRT,1.3425,103.825
PIONEER MRT STATION,MRT,1.33752,103.69739
TAMPINES EAST MRT STATION,MRT,1.35637,103.95474
TUAS CRESCENT MRT STATION,MRT,1.32094,103.64925
KALLANG MRT STATION,MRT,1.31143,103.87124
SOO TECK LRT STATION,LRT,1.40459,103.89714
SERANGOON MRT STATION,MRT,1.34972,103.8733
FAJAR LRT STATION,LRT,1.38414,103.77052
KENT RIDGE MRT STATION,MRT,1.29352,103.78444
MAYFLOWER MRT STATION,MRT,1.3682,103.83675
YEW TEE MRT STATION,MRT,1.39708,103.74723
TANJONG RHU MRT STATION,MRT,1.29396,103.87567
FARRER ROAD MRT STATION,MRT,1.31712,103.80758
BUANGKOK MRT STATION,MRT,1.38286,103.89283
TAMPINES MRT STATION,MRT,1.35353,103.9453
TECK LEE LRT STATION,LRT,1.40506,103.90655
RIVIERA LRT STATION,LRT,1.39145,103.91263
BUKIT GOMBAK MRT STATION,MRT,1.35891,103.75192
JOO KOON MRT STATION,MRT,1.32772,103.67822
NICOLL HIGHWAY MRT STATION,MRT,1.29981,103.86359
KOVAN MRT STATION,MRT,1.36071,103.88485
SOUTH VIEW LRT STATION,LRT,1.38084,103.74537
PUNGGOL MRT STATION,MRT,1.40512,103.90226
PUNGGOL POINT LRT STATION,LRT,1.4176,103.90718
SAMUDERA LRT STATION,LRT,1.41594,103.90211
CHINATOWN MRT STATION,MRT,1.28459,103.84366
THANGGAM LRT STATION,LRT,1.3973,103.88633
OASIS LRT STATION,LRT,1.39709,103.91477
HAVELOCK MRT STATION,MRT,1.28799,103.83463
KADALOOR LRT STATION,LRT,1.39297,103.91673
COVE LRT STATION,LRT,1.39959,103.90574
TELOK BLANGAH MRT STATION,MRT,1.27054,103.8097
ORCHARD MRT STATION,MRT,1.30438,103.83189
JALAN BESAR MRT STATION,MRT,1.3053,103.85532
PAYA LEBAR MRT STATION,MRT,1.31741,103.89243
BAYFRONT MRT STATION,MRT,1.28187,103.85908
MARINE PARADE MRT STATION,MRT,1.30247,103.90629
QUEENSTOWN MRT STATION,MRT,1.29412,103.8061
HARBOURFRONT MRT STATION,MRT,1.26509,103.82184
SHENTON WAY MRT STATION,MRT,1.27898,103.84963
JELAPANG LRT STATION,LRT,1.38618,103.76413
UBI MRT STATION,MRT,1.32991,103.89969
MOUNTBATTEN MRT STATION,MRT,1.30631,103.88221
MAXWELL MRT STATION,MRT,1.2799,103.84417
LABRADOR PARK MRT STATION,MRT,1.27229,103.80237
MARINA BAY MRT STATION,MRT,1.27622,103.85424
POTONG PASIR MRT STATION,MRT,1.33181,103.86896
BAYSHORE MRT STATION,MRT,1.31259,103.94097
STADIUM MRT STATION,MRT,1.30303,103.87541
WOODLANDS SOUTH MRT STATION,MRT,1.42788,103.79414
OUTRAM PARK MRT STATION,MRT,1.28027,103.83954
BANGKIT LRT STATION,LRT,1.38003,103.7724
SIGLAP MRT STATION,MRT,1.31384,103.92722
LENTOR MRT STATION,MRT,1.38489,103.83523
ALJUNIED MRT STATION,MRT,1.31643,103.88291
BENCOOLEN MRT STATION,MRT,1.29862,103.85042
BOTANIC GARDENS MRT STATION,MRT,1.32228,103.81538
BISHAN MRT STATION,MRT,1.35087,103.84836
MERIDIAN LRT STATION,LRT,1.39724,103.90836
NEWTON MRT STATION,MRT,1.31264,103.83818
TAMPINES WEST MRT STATION,MRT,1.34538,103.93826
DOVER MRT STATION,MRT,1.31116,103.77848
TANJONG PAGAR MRT STATION,MRT,1.27637,103.84568
WOODLANDS MRT STATION,MRT,1.43689,103.78657
SUMANG LRT STATION,LRT,1.4067,103.89826
MARSILING MRT STATION,MRT,1.43261,103.77383
NIBONG LRT STATION,LRT,1.41155,103.89984
DAMAI LRT STATION,LRT,1.40032,103.9149
KANGKAR LRT STATION,LRT,1.38483,103.9018
FARMWAY LRT STATION,LRT,1.39711,103.88931
BUKIT BATOK MRT STATION,MRT,1.34897,103.74967
SPRINGLEAF MRT STATION,MRT,1.3979,103.81899
LITTLE INDIA MRT STATION,MRT,1.30675,103.84933
BEAUTY WORLD MRT STATION,MRT,1.34122,103.77579
TUAS WEST ROAD MRT STATION,MRT,1.32998,103.64
BUONA VISTA MRT STATION,MRT,1.30717,103.79044
TANAH MERAH MRT STATION,MRT,1.32737,103.94636
RENJONG LRT STATION,LRT,1.38665,103.88983
TONGKANG LRT STATION,LRT,1.38933,103.88542
SENGKANG MRT STATION,MRT,1.39173,103.89518
BAKAU LRT STATION,LRT,1.39052,103.90552
FARRER PARK MRT STATION,MRT,1.31224,103.85447
PETIR LRT STATION,LRT,1.37777,103.7669
KEMBANGAN MRT STATION,MRT,1.32085,103.91299
COMPASSVALE LRT STATION,LRT,1.39458,103.90044
KAKI BUKIT MRT STATION,MRT,1.33475,103.90837
BUKIT PANJANG LRT STATION,LRT,1.37896,103.76193
EUNOS MRT STATION,MRT,1.31965,103.90343
PASIR PANJANG MRT STATION,MRT,1.27616,103.79114
TOA PAYOH MRT STATION,MRT,1.33268,103.84733
KHATIB MRT STATION,MRT,1.41721,103.833
MATTAR MRT STATION,MRT,1.32642,103.88296
FORT CANNING MRT STATION,MRT,1.29255,103.84473
FERNVALE LRT STATION,LRT,1.39167,103.87638
HOLLAND VILLAGE MRT STATION,MRT,1.31246,103.79626
KUPANG LRT STATION,LRT,1.39878,103.88998
CHENG LIM LRT STATION,LRT,1.39603,103.894
YIO CHU KANG MRT STATION,MRT,1.38197,103.84484
SEMBAWANG MRT STATION,MRT,1.44912,103.82012
LAYAR LRT STATION,LRT,1.3924,103.88076
RANGGUNG LRT STATION,LRT,1.38434,103.89743
KRANJI MRT STATION,MRT,1.42495,103.76202
SOMERSET MRT STATION,MRT,1.30037,103.83892
CALDECOTT MRT STATION,MRT,1.33771,103.83949
CHOA CHU KANG LRT STATION,LRT,1.38527,103.7442
PENDING LRT STATION,LRT,1.37623,103.77163
GREAT WORLD MRT STATION,MRT,1.29332,103.83238
RUMBIA LRT STATION,LRT,1.39234,103.9061
PHOENIX LRT STATION,LRT,1.37846,103.76014
GARDENS BY THE BAY MRT STATION,MRT,1.28124,103.86537
TAI SENG MRT STATION,MRT,1.33588,103.88805
YISHUN MRT STATION,MRT,1.42942,103.835
LAKESIDE MRT STATION,MRT,1.34426,103.72076
DAKOTA MRT STATION,MRT,1.30838,103.88802
DOWNTOWN MRT STATION,MRT,1.27954,103.85294
TIONG BAHRU MRT STATION,MRT,1.28605,103.82687
CHINESE GARDEN MRT STATION,MRT,1.34252,103.73264
PASIR RIS MRT STATION,MRT,1.37293,103.94939
WOODLANDS NORTH MRT STATION,MRT,1.44837,103.78559
ORCHARD BOULEVARD MRT STATION,MRT,1.30186,103.8244
BARTLEY MRT STATION,MRT,1.3425,103.88018
CITY HALL MRT STATION,MRT,1.29308,103.85211
MACPHERSON MRT STATION,MRT,1.32698,103.8899
BOON KENG MRT STATION,MRT,1.31952,103.86178
SEGAR LRT STATION,LRT,1.38731,103.76967
PROMENADE MRT STATION,MRT,1.2931,103.86115
GUL CIRCLE MRT STATION,MRT,1.31979,103.66065
UPPER THOMSON MRT STATION,MRT,1.35486,103.83503
BRIGHT HILL MRT STATION,MRT,1.36263,103.83212
BUGIS MRT STATION,MRT,1.30014,103.85586
ANG MO KIO MRT STATION,MRT,1.37,103.84961
MARYMOUNT MRT STATION,MRT,1.34884,103.83938
WOODLEIGH MRT STATION,MRT,1.339,103.8707
CANBERRA MRT STATION,MRT,1.44303,103.82973
SIMEI MRT STATION,MRT,1.34381,103.95334
BENDEMEER MRT STATION,MRT,1.31368,103.86215
LORONG CHUAN MRT STATION,MRT,1.35162,103.86432
SENGKANG LRT STATION,LRT,1.39173,103.89518
COMMONWEALTH MRT STATION,MRT,1.30247,103.79779
NAPIER MRT STATION,MRT,1.31181,103.82063
GEYLANG BAHRU MRT STATION,MRT,1.32107,103.87165
CLARKE QUAY MRT STATION,MRT,1.28869,103.84668
BEDOK RESERVOIR MRT STATION,MRT,1.33624,103.93334
MARINE TERRACE MRT STATION,MRT,1.30643,103.91288
BEDOK NORTH MRT STATION,MRT,1.33507,103.91768
BRADDELL MRT STATION,MRT,1.34073,103.84678
CLEMENTI MRT STATION,MRT,1.31498,103.76523
MARINA SOUTH PIER MRT STATION,MRT,1.27135,103.86315
TUAS LINK MRT STATION,MRT,1.3404,103.63663
STEVENS MRT STATION,MRT,1.32003,103.82566
SENJA LRT STATION,LRT,1.38269,103.76245
HAW PAR VILLA MRT STATION,MRT,1.28235,103.78186
CHOA CHU KANG MRT STATION,MRT,1.38527,103.7442
KEAT HONG LRT STATION,LRT,1.37873,103.74902
ADMIRALTY MRT STATION,MRT,1.44062,103.80099
REDHILL MRT STATION,MRT,1.2897,103.81687
UPPER CHANGI MRT STATION,MRT,1.34152,103.96158
TELOK AYER MRT STATION,MRT,1.28201,103.84848
NOVENA MRT STATION,MRT,1.32033,103.84384
BOON LAY MRT STATION,MRT,1.33869,103.70579
KATONG PARK MRT STATION,MRT,1.30161,103.89571
TANJONG KATONG MRT STATION,MRT,1.30766,103.90073
RAFFLES PLACE MRT STATION,MRT,1.28399,103.85141
