mall_name,latitude,longitude
The Star Vista,1.3080015,103.7883825
Bencoolen Underground Mall,1.2981814,103.8496472
Bencoolen Underground Mall,1.2992237,103.8507551
Katong V,1.3031334,103.9032312
The Poiz Centre,1.331436,103.8685709
Clarke Quay Central,1.2889993,103.8461796
Excelsior Shopping Centre,1.2920995,103.8496887
Changi Airport Terminal 1,1.3627078,103.9910807
Sim Lim Square,1.3030332,103.8530255
Broadway Plaza,1.3719352,103.8459597
Compass One,1.392017,103.8949564
Rivervale Plaza,1.3853329,103.9019719
Rivervale Mall,1.3922311,103.9044753
Hougang Green Shopping Mall,1.3792878,103.8879261
Hougang Mall,1.3724413,103.8937329
Heartland Mall,1.3594964,103.8852025
IMM,1.3347654,103.7466237
White Sands,1.3724456,103.9497597
Jubilee Square,1.3717801,103.8477747
Raffles City Shopping Centre,1.2938989,103.8533513
Shaw House,1.3058286,103.8315296
Orchard Central,1.3006418,103.8398031
Palais Renaissance,1.3067203,103.8296522
Orchard Towers,1.3069608,103.82921
Anchorpoint,1.2886901,103.8050249
Queensway Shopping Centre,1.287553,103.8034772
Cathay Cineleisure Orchard,1.3014619,103.8364924
100AM,1.274904,103.8436136
Parkway Parade,1.3013803,103.9052851
i12 Katong,1.3051692,103.9050088
Katong Plaza,1.3042065,103.9038703
Katong Shopping Centre,1.3038781,103.9011475
Odeon Katong Shopping Complex,1.3046858,103.901932
Bras Basah Complex,1.2968252,103.8536294
Roxy Square,1.3033499,103.9046089
Orchard Plaza,1.3012613,103.841131
The Centrepoint,1.3018969,103.8398119
The Cathay,1.2994807,103.847662
Ngee Ann City,1.3026133,103.8347141
Pacific Plaza,1.3065597,103.8321236
Parklane Shopping Mall,1.3006629,103.849441
GR.ID,1.3001326,103.8493281
Sunshine Plaza,1.3003536,103.8509415
Fortune Centre,1.3003923,103.852284
Peninsula Plaza,1.2923267,103.8508288
Suntec City,1.2949861,103.8578759
Tanglin Mall,1.3048369,103.8238575
East Point,1.3427269,103.9529868
Tanjong Katong Complex,1.3163748,103.8943388
City Plaza,1.3147731,103.8934464
Tekka Centre,1.3062231,103.8505301
Mustafa Centre,1.3101243,103.8553164
OUE Downtown,1.2774025,103.8486711
Bugis+,1.2996734,103.8541655
Sun Plaza,1.4481927,103.8195153
313@Somerset,1.3010177,103.8382874
Depot Heights Shopping Centre,1.2811645,103.8103282
,1.2830844,103.7805052
Sembawang Shopping Centre,1.4418971,103.824931
Causeway Point,1.4360803,103.7860055
Simei Plaza /Blk 248,1.3435043,103.9536221
The Centris,1.3394539,103.7052344
Pioneer Mall,1.341702,103.6971791
Gek Poh Shopping Centre,1.3490591,103.6977387
City Square Mall,1.3113867,103.8565834
The Star Vista,1.306826,103.7884524
Hougang 1,1.3757064,103.879514
Alexandra Central,1.2873166,103.8053276
Old Airport Road Food Centre & Shopping Mall,1.3082432,103.8858159
Djitsun Mall Bedok,1.3261293,103.9295546
Thomson Plaza,1.3546008,103.8307608
Bukit Timah Shopping Center,1.3432601,103.7760509
Beauty World Centre,1.3423587,103.7765589
Beauty World Plaza,1.3418287,103.7763037
The Clementi Mall,1.3149817,103.7642331
Grantral Mall @ Clementi,1.3142963,103.7651379
Greenwich V,1.3875058,103.869389
Upper Serangoon Shopping Centre,1.3536238,103.8788344
West Coast Plaza,1.3036424,103.766276
Icon Village,1.2751635,103.8445351
Ang Mo Kio Hub,1.369444,103.8483419
Admiralty Place,1.4402582,103.8012976
Leisure Park Kallang,1.3021844,103.8765537
Delfi Orchard,1.3071812,103.8284739
Orchard Building,1.3014048,103.83735
Tekka Place,1.3045543,103.8523047
Westgate,1.3341755,103.7428751
Coronation Plaza,1.3237824,103.8100055
Great World City,1.2936086,103.8318929
West Mall,1.3500366,103.7492868
Tampines Mall,1.352542,103.9447432
Century Square,1.3523775,103.9438195
Tampines 1,1.3542178,103.9450121
Rochester Mall,1.3056598,103.7882026
HDB Hub,1.331993,103.8484823
Concorde Shopping Centre,1.2889501,103.8342288
Tiong Bahru Plaza,1.2864016,103.8273286
Bugis Junction,1.2998158,103.8559023
Far East Shopping Centre,1.3055354,103.8300911
Forum The Shopping Mall,1.3060918,103.8287068
Liat Tower,1.3051056,103.8307274
Lucky Plaza,1.304515,103.833963
Paragon,1.3038335,103.8356396
Tang Plaza,1.3050171,103.8330376
Wisma Atria,1.3036801,103.8332105
The Heeren,1.3026344,103.8373397
Velocity @ Novena Square,1.3197931,103.8438327
Square 2,1.3206989,103.8441378
United Square,1.3171615,103.8436059
Changi Airport Terminal 2,1.3537945,103.9904486
Changi Airport Terminal 3,1.3546069,103.9850767
Plaza 8,1.3335115,103.9655221
Lot One Shoppers' Mall,1.385156,103.745025
Bukit Panjang Plaza,1.3800081,103.7643116
Valley Point Shopping Centre,1.2931162,103.8270506
Downtown East,1.3773417,103.9545899
nex,1.3504477,103.8723218
Fusionopolis 1,1.2992432,103.7875698
Mustafa Centre,1.3090727,103.856499
Mustafa Centre,1.3094159,103.8560571
Mustafa Centre,1.3097608,103.8557165
Midpoint Orchard,1.3017606,103.8386507
Orchard Gateway,1.3006994,103.8393128
Sunshine Place,1.3777679,103.7390721
Shaw Plaza,1.3249782,103.8512532
Joo Chiat Complex,1.315894,103.8983948
Mall 1,1.3225781,103.8142376
Loyang Point,1.3669967,103.9646242
Punggol Plaza,1.3942878,103.9130446
Paya Lebar Square,1.3188127,103.8926009
CityLink Mall,1.2922036,103.8545385
Esplanade Xchange,1.2926076,103.8550321
Marina Bay Link Mall,1.2809091,103.8537995
YewTee Point,1.3970877,103.7466613
ION Orchard,1.3039546,103.8319742
Greenridge Shopping Centre,1.3853423,103.7662295
The Seletar Mall,1.3915468,103.8761903
Yew Tee Square,1.3982417,103.7470206
Limbang Shopping Centre,1.3919798,103.7432115
Fajar Shopping Centre,1.3838176,103.770853
Junction 10,1.3803346,103.7601666
Jurong Point,1.3395495,103.7057717
Bugis Junction,1.298913,103.8551667
Royal Square at Novena,1.3205254,103.8432202
Orchard Shopping Centre,1.3014967,103.8378882
Zhongshan Mall,1.3271312,103.8464973
Kallang Wave Mall,1.3034697,103.8732445
Orchard Gateway @ Emerald,1.301653,103.8388682
Waterway Point,1.4064594,103.9022278
Marina Square,1.291286,103.857535
myVillage,1.3651486,103.8651556
Kang Kar Mall,1.3717185,103.8942289
Jalan Besar Plaza,1.3086303,103.8580368
Balestier Plaza,1.3257275,103.8503807
Kinex,1.3146526,103.894811
Roxy Square,1.3042854,103.904122
Hillion Mall,1.3784743,103.7632996
Fairprice Hub,1.3260464,103.6783782
HillV2 Mall,1.3633978,103.7643632
South Beach Quarter,1.2957356,103.8561555
South Beach Avenue,1.294755,103.8559721
Guoco Tower,1.2770148,103.8454718
Suntec City,1.2949832,103.8601422
Suntec City,1.2957767,103.8594878
Grandlink Square,1.3142925,103.8915347
Buangkok Square Mall,1.3842992,103.8816182
Northshore Plaza II,1.4178949,103.9013214
Marina One,1.2772634,103.8529601
Duo Residences,1.2998789,103.8586495
Bukit Panjang Plaza,1.378632,103.7621096
Scotts Square,1.3058338,103.8329328
Funan,1.2913892,103.8499874
Clementi 321,1.3119852,103.7650214
Wisteria Mall,1.41826,103.8412699
18 Tai Seng,1.3362972,103.8888324
Wheelock Place,1.3046867,103.8306774
Junction Nine,1.4331099,103.8416997
SingPost Centre,1.3189978,103.8947938
Aperia Mall,1.3102913,103.8639739
MacPherson Mall,1.331794,103.8793578
Suntec City,1.2960525,103.8587498
Marsiling Mall Hawker Centre,1.4335488,103.7799603
Downtown Gallery,1.2769037,103.8483666
Liat Towers,1.3051056,103.8307274
Mall 2,1.3050285,103.8330776
Plaza Singapura,1.3004574,103.8452085
The Oasis,1.2876789,103.7903736
Jewel Changi Basement,1.3602685,103.9897711
Katong Square,1.3047052,103.9047193
The Flow Mall,1.3045553,103.9042659
Le Quest Mall,1.3559795,103.7411527
Junction 8,1.3505856,103.8486604
Design Orchard,1.3020646,103.8379302
Bedok Mall,1.3248368,103.929246
Clarke Quay Central,1.2889896,103.846628
Northpoint City,1.4281701,103.8362366
Canberra Plaza,1.4431827,103.8305208
Knightsbridge,1.3031228,103.8363628
Mandarin Gallery,1.3020175,103.8365421
Bencoolen,1.2984401,103.8499177
Jewel Changi Airport,1.3602194,103.9896831
Millenia Walk,1.2926443,103.8593181
Quayside Isle,1.2470884,103.8421833
Quayside Isle,1.2479587,103.8416778
Alexandra Retail Centre,1.2738572,103.8014062
Changi City Point,1.3340177,103.9630451
Liv@Changi,1.3586506,103.9694484
Plantation Plaza,1.3575333,103.7341702
Trio,1.3090874,103.856928
The Woodleigh Mall,1.3386981,103.8717098
The Concourse,1.3008746,103.8618842
STELLAR@TE2,1.4350534,103.7881753
Sengkang Grand Mall,1.3832033,103.8922549
Pasir Ris Mall,1.3738493,103.9487932
Eastlink Mall,1.3543667,103.9442778
Dairy Farm Mall,1.3660137,103.7750268
Balmoral Plaza,1.3164924,103.8354561
One Holland Village,1.3111168,103.7941049
Mall 3,1.3227569,103.8140844
Mall 4,1.3227493,103.8141285
Mall 5,1.3227418,103.8141725
Mall 6,1.3227343,103.8142161
Mall 7,1.3227268,103.8142596
Mall 8,1.3227193,103.8143032
Mall 9,1.3227119,103.8143467
Mall 10,1.3227045,103.8143899
Mall 11,1.3226971,103.8144327
Mall 12,1.3226155,103.814487
Big Block,1.2925509,103.8389758
Taman Jurong Shopping Centre,1.3348278,103.7204648
888 Plaza,1.4378145,103.7952897
The Shoppes at Marina Bay Sands,1.2840201,103.8588924
VivoCity,1.2643743,103.8220879
Boon Lay Shopping Centre,1.3463274,103.7124831
Mall 13,1.389357,103.8493212
Tampines Mart,1.354402,103.9600729
Far East Plaza,1.3071357,103.833913
Elias Mall,1.3785776,103.942013
Keat Hong Shopping Centre,1.3773259,103.7444324
Dawson Place,1.2926708,103.8110959
Bedok Mall,1.3248368,103.929246
Velocity @ Novena Square,1.3197931,103.8438327
JEM,1.3331331,103.7433992
Northshore Plaza I,1.4166829,103.9020857
Concorde Shopping Centre,1.2889501,103.8342288
The Woodgrove,1.4290911,103.7811363
Cluny Court,1.3226411,103.814272
Vista Point,1.4309594,103.7939196
PARKTOWN,1.3669054,103.9378084
